question_id,question,config,retrieval,reranker,faithfulness,answer_relevancy,context_precision,context_recall
10,What biomarkers are used to monitor kidney function after transplant?,B_hybrid,hybrid,False,1.0,0.91397446,0.5333333333333333,0.16666666666666666
10,What biomarkers are used to monitor kidney function after transplant?,C_hybrid_rerank,hybrid,True,0.8333333333333334,0.75710493,0.8333333333333333,0.16666666666666666
10,What biomarkers are used to monitor kidney function after transplant?,D_dense_rerank,dense,True,0.7777777777777778,0.833389,0.8333333333333333,0.16666666666666666
11,How does quality of life change after kidney transplantation compared to dialysis?,A_dense_only,dense,False,1.0,0.7144649,1.0,1.0
11,How does quality of life change after kidney transplantation compared to dialysis?,B_hybrid,hybrid,False,1.0,0.82285565,1.0,0.0
11,How does quality of life change after kidney transplantation compared to dialysis?,C_hybrid_rerank,hybrid,True,1.0,0.8599787,1.0,0.0
11,How does quality of life change after kidney transplantation compared to dialysis?,D_dense_rerank,dense,True,1.0,0.847315,1.0,0.0
12,What are the risk factors for chronic kidney disease progression?,A_dense_only,dense,False,0.875,0.78206015,1.0,0.6666666666666666
12,What are the risk factors for chronic kidney disease progression?,B_hybrid,hybrid,False,1.0,0.7459228,1.0,1.0
12,What are the risk factors for chronic kidney disease progression?,C_hybrid_rerank,hybrid,True,0.8571428571428571,0.8337774,1.0,0.5
12,What are the risk factors for chronic kidney disease progression?,D_dense_rerank,dense,True,0.7,0.76586264,1.0,0.4166666666666667
13,How does cardiovascular disease relate to chronic kidney disease outcomes?,A_dense_only,dense,False,1.0,0.7907447,1.0,0.2
13,How does cardiovascular disease relate to chronic kidney disease outcomes?,B_hybrid,hybrid,False,1.0,0.75070924,0.5833333333333333,0.0
13,How does cardiovascular disease relate to chronic kidney disease outcomes?,C_hybrid_rerank,hybrid,True,1.0,0.84911937,0.7555555555555555,0.25
13,How does cardiovascular disease relate to chronic kidney disease outcomes?,D_dense_rerank,dense,True,1.0,0.8320434,0.7555555555555555,0.4
14,What is the effect of dialysis modality on patient outcomes?,A_dense_only,dense,False,1.0,0.7452242,1.0,0.0
14,What is the effect of dialysis modality on patient outcomes?,B_hybrid,hybrid,False,1.0,0.8495708,0.5833333333333333,0.0
14,What is the effect of dialysis modality on patient outcomes?,C_hybrid_rerank,hybrid,True,1.0,0.7363327,1.0,0.125
14,What is the effect of dialysis modality on patient outcomes?,D_dense_rerank,dense,True,1.0,0.75972104,1.0,0.2857142857142857
15,How does donation after circulatory death compare to donation after brain death?,A_dense_only,dense,False,1.0,0.7555523,1.0,0.6666666666666666
15,How does donation after circulatory death compare to donation after brain death?,B_hybrid,hybrid,False,1.0,0.71409607,1.0,0.75
15,How does donation after circulatory death compare to donation after brain death?,C_hybrid_rerank,hybrid,True,1.0,0.76674,1.0,0.7142857142857143
15,How does donation after circulatory death compare to donation after brain death?,D_dense_rerank,dense,True,1.0,0.7544532,1.0,0.75
16,How does delayed graft function affect long-term outcomes?,A_dense_only,dense,False,1.0,0.75342363,0.8333333333333333,0.2857142857142857
16,How does delayed graft function affect long-term outcomes?,B_hybrid,hybrid,False,1.0,0.6205544,0.8333333333333333,0.2
16,How does delayed graft function affect long-term outcomes?,C_hybrid_rerank,hybrid,True,1.0,0.72489786,0.8041666666666667,1.0
16,How does delayed graft function affect long-term outcomes?,D_dense_rerank,dense,True,1.0,0.67680424,0.8041666666666667,1.0
17,How does hypertension management affect chronic kidney disease progression?,A_dense_only,dense,False,1.0,0.7949535,1.0,0.625
17,How does hypertension management affect chronic kidney disease progression?,B_hybrid,hybrid,False,1.0,0.79173654,0.25,0.5
17,How does hypertension management affect chronic kidney disease progression?,C_hybrid_rerank,hybrid,True,1.0,0.69673604,0.45,0.7142857142857143
17,How does hypertension management affect chronic kidney disease progression?,D_dense_rerank,dense,True,1.0,0.8069617,0.95,0.7777777777777778
18,How does donor age affect transplant outcomes?,A_dense_only,dense,False,1.0,0.8591754,0.41666666666666663,0.0
18,How does donor age affect transplant outcomes?,B_hybrid,hybrid,False,1.0,0.86525464,1.0,0.25
18,How does donor age affect transplant outcomes?,C_hybrid_rerank,hybrid,True,1.0,0.8006349,0.95,0.0
18,How does donor age affect transplant outcomes?,D_dense_rerank,dense,True,1.0,0.8570445,1.0,0.0
19,How effective are different immunosuppressive regimens at preventing rejection?,A_dense_only,dense,False,1.0,0.8503503,1.0,0.0
19,How effective are different immunosuppressive regimens at preventing rejection?,B_hybrid,hybrid,False,1.0,0.7446682,1.0,0.0
19,How effective are different immunosuppressive regimens at preventing rejection?,C_hybrid_rerank,hybrid,True,1.0,0.8285064,0.95,0.0
19,How effective are different immunosuppressive regimens at preventing rejection?,D_dense_rerank,dense,True,1.0,0.7811467,1.0,0.5
20,How does cognitive function differ across different kidney replacement therapies?,A_dense_only,dense,False,1.0,0.71169573,1.0,0.8
20,How does cognitive function differ across different kidney replacement therapies?,B_hybrid,hybrid,False,1.0,0.75465614,1.0,0.9
20,How does cognitive function differ across different kidney replacement therapies?,C_hybrid_rerank,hybrid,True,1.0,0.6629364,1.0,0.4
20,How does cognitive function differ across different kidney replacement therapies?,D_dense_rerank,dense,True,1.0,0.6627565,1.0,0.2857142857142857
21,What surgical techniques improve efficiency in paired kidney transplantation?,A_dense_only,dense,False,1.0,0.7368663,0.8875,1.0
21,What surgical techniques improve efficiency in paired kidney transplantation?,B_hybrid,hybrid,False,0.5,0.8586393,1.0,0.25
21,What surgical techniques improve efficiency in paired kidney transplantation?,C_hybrid_rerank,hybrid,True,0.6666666666666666,0.92907333,0.8333333333333333,0.0
21,What surgical techniques improve efficiency in paired kidney transplantation?,D_dense_rerank,dense,True,0.8888888888888888,0.7884074,0.8041666666666667,0.8
22,What is the audiological or hearing health profile of transplant candidates?,A_dense_only,dense,False,1.0,0.7680512,1.0,1.0
22,What is the audiological or hearing health profile of transplant candidates?,B_hybrid,hybrid,False,1.0,0.7786053,0.95,0.9090909090909091
22,What is the audiological or hearing health profile of transplant candidates?,C_hybrid_rerank,hybrid,True,1.0,0.7871687,1.0,1.0
22,What is the audiological or hearing health profile of transplant candidates?,D_dense_rerank,dense,True,1.0,0.7782797,1.0,0.9166666666666666
23,How does a Mediterranean diet affect nutrition in chronic kidney disease patients?,A_dense_only,dense,False,1.0,0.81214386,1.0,1.0
23,How does a Mediterranean diet affect nutrition in chronic kidney disease patients?,B_hybrid,hybrid,False,1.0,0.72337174,1.0,1.0
23,How does a Mediterranean diet affect nutrition in chronic kidney disease patients?,C_hybrid_rerank,hybrid,True,1.0,0.7155283,1.0,1.0
23,How does a Mediterranean diet affect nutrition in chronic kidney disease patients?,D_dense_rerank,dense,True,1.0,0.8097188,1.0,1.0
24,How does ambient temperature or climate affect chronic kidney disease risk?,A_dense_only,dense,False,1.0,0.79036444,1.0,0.6666666666666666
24,How does ambient temperature or climate affect chronic kidney disease risk?,B_hybrid,hybrid,False,1.0,0.8289891,1.0,0.6666666666666666
24,How does ambient temperature or climate affect chronic kidney disease risk?,C_hybrid_rerank,hybrid,True,1.0,0.79926395,1.0,0.5714285714285714
24,How does ambient temperature or climate affect chronic kidney disease risk?,D_dense_rerank,dense,True,1.0,0.81251305,1.0,0.6666666666666666
25,What is the relationship between anemia and iron regulation in chronic kidney disease?,A_dense_only,dense,False,1.0,0.7946052,1.0,0.8181818181818182
25,What is the relationship between anemia and iron regulation in chronic kidney disease?,B_hybrid,hybrid,False,1.0,0.77735,1.0,0.5454545454545454
25,What is the relationship between anemia and iron regulation in chronic kidney disease?,C_hybrid_rerank,hybrid,True,1.0,0.7535792,1.0,0.8181818181818182
25,What is the relationship between anemia and iron regulation in chronic kidney disease?,D_dense_rerank,dense,True,1.0,0.7989087,1.0,0.7
